dataset,task,model,fold,seed,accuracy,auroc,auprc,es,mae,mse,rmse,r2,osmae
tjh,outcome,RETAIN,8,0,0.95348835,0.985999703,0.958587527,0.857302986,,,,,
tjh,outcome,RETAIN,9,0,0.885542154,0.948894322,0.928776324,0.537028382,,,,,
tjh,outcome,RNN,0,0,0.878612697,0.973378718,0.961054504,0.594161109,,,,,
tjh,outcome,RNN,1,0,0.938888907,0.991422355,0.987602174,0.839702198,,,,,
tjh,outcome,RNN,2,0,0.925714314,0.983794212,0.965771675,0.767180566,,,,,
tjh,outcome,RNN,3,0,0.880794704,0.961940825,0.954515994,0.649494167,,,,,
tjh,outcome,RNN,4,0,0.909604549,0.97515285,0.959641814,0.902367963,,,,,
tjh,outcome,RNN,5,0,0.834285736,0.923717499,0.881154478,0.8213687,,,,,
tjh,outcome,RNN,6,0,0.908496737,0.985077262,0.981457889,0.717141766,,,,,
tjh,outcome,RNN,7,0,0.983516455,0.998799503,0.997867703,0.946924142,,,,,
tjh,outcome,RNN,8,0,0.941860437,0.989728451,0.984995723,0.873413939,,,,,
tjh,outcome,RNN,9,0,0.885542154,0.957903385,0.928760111,0.720855349,,,,,
tjh,outcome,StageNet,0,0,0.890173435,0.982724428,0.973359585,0.616371197,,,,,
tjh,outcome,StageNet,1,0,0.922222197,0.989886045,0.985525846,0.764381544,,,,,
tjh,outcome,StageNet,2,0,0.931428552,0.98409164,0.960346103,0.720616679,,,,,
tjh,outcome,StageNet,3,0,0.860927165,0.949314654,0.936216593,0.576472118,,,,,
tjh,outcome,StageNet,4,0,0.926553667,0.960138142,0.930574358,0.958694138,,,,,
tjh,outcome,StageNet,5,0,0.868571401,0.922508717,0.872403681,0.850493368,,,,,
tjh,outcome,StageNet,6,0,0.908496737,0.982619345,0.976933718,0.717141765,,,,,
tjh,outcome,StageNet,7,0,0.961538434,0.998132706,0.996680915,0.914067659,,,,,
tjh,outcome,StageNet,8,0,0.95348835,0.994793892,0.992937624,0.878017069,,,,,
